name,kcal_per_100g,category
Karides,99.0,Balık ve Deniz Ürünleri
Kefal,120.0,Balık ve Deniz Ürünleri
Kefal (fırınlanmış),126.0,Balık ve Deniz Ürünleri
Kefal (ızgara),126.0,Balık ve Deniz Ürünleri
Kılıç balığı,172.0,Balık ve Deniz Ürünleri
Kılıç balığı (fırınlanmış),180.6,Balık ve Deniz Ürünleri
Kılıç balığı (ızgara),180.6,Balık ve Deniz Ürünleri
Levrek,124.0,Balık ve Deniz Ürünleri
Levrek (fırınlanmış),130.2,Balık ve Deniz Ürünleri
Levrek (ızgara),130.2,Balık ve Deniz Ürünleri
Lüfer,140.0,Balık ve Deniz Ürünleri
Lüfer (fırınlanmış),147.0,Balık ve Deniz Ürünleri
Lüfer (ızgara),147.0,Balık ve Deniz Ürünleri
Mercan,110.0,Balık ve Deniz Ürünleri
Mercan (fırınlanmış),115.5,Balık ve Deniz Ürünleri
Mercan (ızgara),115.5,Balık ve Deniz Ürünleri
Mezgit,86.0,Balık ve Deniz Ürünleri
Mezgit (fırınlanmış),90.3,Balık ve Deniz Ürünleri
Mezgit (ızgara),90.3,Balık ve Deniz Ürünleri
Midye,172.0,Balık ve Deniz Ürünleri
Orkinos,144.0,Balık ve Deniz Ürünleri
Orkinos (fırınlanmış),151.0,Balık ve Deniz Ürünleri
Orkinos (ızgara),151.0,Balık ve Deniz Ürünleri
Palamut,144.0,Balık ve Deniz Ürünleri
Palamut (fırınlanmış),151.2,Balık ve Deniz Ürünleri
Palamut (ızgara),151.2,Balık ve Deniz Ürünleri
Sardalya,208.0,Balık ve Deniz Ürünleri
Sazan,127.0,Balık ve Deniz Ürünleri
Sazan (fırınlanmış),133.3,Balık ve Deniz Ürünleri
Sazan (ızgara),133.3,Balık ve Deniz Ürünleri
Somon,208.0,Balık ve Deniz Ürünleri
Somon (fırınlanmış),218.4,Balık ve Deniz Ürünleri
Somon (ızgara),218.4,Balık ve Deniz Ürünleri
Ton balığı,132.0,Balık ve Deniz Ürünleri
Uskumru,205.0,Balık ve Deniz Ürünleri
Uskumru (fırınlanmış),215.2,Balık ve Deniz Ürünleri
Uskumru (ızgara),215.2,Balık ve Deniz Ürünleri
Zargana,110.0,Balık ve Deniz Ürünleri
Çinekop,150.0,Balık ve Deniz Ürünleri
Çinekop (fırınlanmış),158.0,Balık ve Deniz Ürünleri
Çinekop (ızgara),158.0,Balık ve Deniz Ürünleri
Çipura,96.0,Balık ve Deniz Ürünleri
Çipura (fırınlanmış),100.8,Balık ve Deniz Ürünleri
Çipura (ızgara),100.8,Balık ve Deniz Ürünleri
İskorpit,120.0,Balık ve Deniz Ürünleri
İstavrit,133.0,Balık ve Deniz Ürünleri
Ayran,36.0,Süt ve Süt Ürünleri
Ayran (tuzsuz),30.0,Süt ve Süt Ürünleri
Beyaz peynir,264.0,Süt ve Süt Ürünleri
Dil peyniri,320.0,Süt ve Süt Ürünleri
Ezine peyniri,280.0,Süt ve Süt Ürünleri
Hellim,321.0,Süt ve Süt Ürünleri
Kaymak,600.0,Süt ve Süt Ürünleri
Kaşar peyniri,404.0,Süt ve Süt Ürünleri
Kaşkaval,380.0,Süt ve Süt Ürünleri
Kefir,41.0,Süt ve Süt Ürünleri
Keçi peyniri,300.0,Süt ve Süt Ürünleri
Keçi sütü,69.0,Süt ve Süt Ürünleri
Krem peynir,342.0,Süt ve Süt Ürünleri
Köy peyniri,300.0,Süt ve Süt Ürünleri
Köy yoğurdu,60.0,Süt ve Süt Ürünleri
Labne,240.0,Süt ve Süt Ürünleri
Lor peyniri,174.0,Süt ve Süt Ürünleri
Mozzarella,280.0,Süt ve Süt Ürünleri
Süt,42.0,Süt ve Süt Ürünleri
Süt kreması,340.0,Süt ve Süt Ürünleri
Süt tozu,496.0,Süt ve Süt Ürünleri
Süzme yoğurt,95.0,Süt ve Süt Ürünleri
Tam yağlı süt,61.0,Süt ve Süt Ürünleri
Tulum peyniri,364.0,Süt ve Süt Ürünleri
Tuzsuz peynir,250.0,Süt ve Süt Ürünleri
Yarım yağlı süt,45.0,Süt ve Süt Ürünleri
Yağsız süt,34.0,Süt ve Süt Ürünleri
Yoğurt,59.0,Süt ve Süt Ürünleri
Yoğurt (tam yağlı),65.0,Süt ve Süt Ürünleri
Yoğurt (yağsız),40.0,Süt ve Süt Ürünleri
Çerkez peyniri,300.0,Süt ve Süt Ürünleri
Çökelek,130.0,Süt ve Süt Ürünleri
Çökelek (tuzlu),160.0,Süt ve Süt Ürünleri
Yumurta,155.0,Yumurta
Yumurta (haşlanmış),155.0,Yumurta
Yumurta beyazı,52.0,Yumurta
Yumurta sarısı,322.0,Yumurta
Arpa,354.0,Tahıllar ve Ekmekler
Arpa (pişmiş),123.0,Tahıllar ve Ekmekler
Bazlama,290.0,Tahıllar ve Ekmekler
Beyaz pirinç (pişmiş),130.0,Tahıllar ve Ekmekler
Bulgur,342.0,Tahıllar ve Ekmekler
Bulgur (pişmiş),83.0,Tahıllar ve Ekmekler
Bulgur pilavı (pişmiş),110.0,Tahıllar ve Ekmekler
Börek,400.0,Tahıllar ve Ekmekler
Ekmek (baget),267.0,Tahıllar ve Ekmekler
Ekmek (beyaz),265.0,Tahıllar ve Ekmekler
Ekmek (ekşi mayalı),250.0,Tahıllar ve Ekmekler
Ekmek (kepekli),252.0,Tahıllar ve Ekmekler
Ekmek (köy),260.0,Tahıllar ve Ekmekler
Ekmek (sandviç),265.0,Tahıllar ve Ekmekler
Ekmek (tam buğday),247.0,Tahıllar ve Ekmekler
Ekmek (tam tahıllı),250.0,Tahıllar ve Ekmekler
Ekmek (çavdar),259.0,Tahıllar ve Ekmekler
Erişte,371.0,Tahıllar ve Ekmekler
Erişte (pişmiş),131.0,Tahıllar ve Ekmekler
Erişte (çiğ),371.0,Tahıllar ve Ekmekler
Esmer pirinç (pişmiş),123.0,Tahıllar ve Ekmekler
Galeta,350.0,Tahıllar ve Ekmekler
Gözleme,290.0,Tahıllar ve Ekmekler
Karabuğday,343.0,Tahıllar ve Ekmekler
Karabuğday (pişmiş),92.0,Tahıllar ve Ekmekler
Kepekli makarna (pişmiş),125.0,Tahıllar ve Ekmekler
Kraker,430.0,Tahıllar ve Ekmekler
Krep,224.0,Tahıllar ve Ekmekler
Krep (pişmiş),224.0,Tahıllar ve Ekmekler
Kuskus,376.0,Tahıllar ve Ekmekler
Kuskus (pişmiş),112.0,Tahıllar ve Ekmekler
Lavaş,300.0,Tahıllar ve Ekmekler
Makarna,371.0,Tahıllar ve Ekmekler
Makarna (pişmiş),131.0,Tahıllar ve Ekmekler
Mantı (pişmiş),220.0,Tahıllar ve Ekmekler
Mısır patlağı,387.0,Tahıllar ve Ekmekler
Mısır unu,365.0,Tahıllar ve Ekmekler
Nişasta (mısır),381.0,Tahıllar ve Ekmekler
Patlamış mısır,387.0,Tahıllar ve Ekmekler
Pide,275.0,Tahıllar ve Ekmekler
Pirinç,365.0,Tahıllar ve Ekmekler
Pirinç (pişmiş),130.0,Tahıllar ve Ekmekler
Pirinç patlağı,387.0,Tahıllar ve Ekmekler
Poğaça,360.0,Tahıllar ve Ekmekler
Simit,340.0,Tahıllar ve Ekmekler
Simit (susamlı),340.0,Tahıllar ve Ekmekler
Simit (susamsız),320.0,Tahıllar ve Ekmekler
Tam buğday makarna (pişmiş),124.0,Tahıllar ve Ekmekler
Tarhana (pişmiş),60.0,Tahıllar ve Ekmekler
Tost ekmeği,265.0,Tahıllar ve Ekmekler
Un (buğday),364.0,Tahıllar ve Ekmekler
Yufka,310.0,Tahıllar ve Ekmekler
Yulaf,389.0,Tahıllar ve Ekmekler
Yulaf (pişmiş),71.0,Tahıllar ve Ekmekler
Çubuk kraker,480.0,Tahıllar ve Ekmekler
İrmik,360.0,Tahıllar ve Ekmekler
Şehriye,365.0,Tahıllar ve Ekmekler
Şehriye (pişmiş),130.0,Tahıllar ve Ekmekler
Bakla (haşlanmış),119.3,Bakliyat
Bakla (çiğ),341.0,Bakliyat
Barbunya (haşlanmış),117.2,Bakliyat
Barbunya (çiğ),335.0,Bakliyat
Bezelye (kuru) (haşlanmış),123.2,Bakliyat
Bezelye (kuru) (çiğ),352.0,Bakliyat
Börülce (haşlanmış),117.6,Bakliyat
Börülce (çiğ),336.0,Bakliyat
Kuru barbunya (haşlanmış),117.2,Bakliyat
Kuru barbunya (çiğ),335.0,Bakliyat
Kuru börülce (haşlanmış),117.6,Bakliyat
Kuru börülce (çiğ),336.0,Bakliyat
Kuru fasulye (haşlanmış),116.5,Bakliyat
Kuru fasulye (çiğ),333.0,Bakliyat
Kuru nohut (haşlanmış),127.4,Bakliyat
Kuru nohut (çiğ),364.0,Bakliyat
Kırmızı mercimek (haşlanmış),125.3,Bakliyat
Kırmızı mercimek (çiğ),358.0,Bakliyat
Mercimek (haşlanmış),123.2,Bakliyat
Mercimek (çiğ),352.0,Bakliyat
Nohut (haşlanmış),127.4,Bakliyat
Nohut (çiğ),364.0,Bakliyat
Sarı mercimek (haşlanmış),123.2,Bakliyat
Sarı mercimek (çiğ),352.0,Bakliyat
Soya fasulyesi (haşlanmış),156.1,Bakliyat
Soya fasulyesi (çiğ),446.0,Bakliyat
Yeşil mercimek (haşlanmış),123.5,Bakliyat
Yeşil mercimek (çiğ),353.0,Bakliyat
Acı biber,40.0,Sebzeler
Acı biber (haşlanmış),42.0,Sebzeler
Bamya,33.0,Sebzeler
Bamya (fırınlanmış),37.9,Sebzeler
Bamya (haşlanmış),34.6,Sebzeler
Bezelye,81.0,Sebzeler
Bezelye (haşlanmış),85.0,Sebzeler
Bezelye (pişmiş),84.0,Sebzeler
Biber,31.0,Sebzeler
Biber (fırınlanmış),35.6,Sebzeler
Biber (haşlanmış),32.6,Sebzeler
Biber (jalapeno),29.0,Sebzeler
Biber (jalapeno) (haşlanmış),30.5,Sebzeler
Biber (pişmiş),33.5,Sebzeler
Biber (ızgara),35.6,Sebzeler
Brokoli,34.0,Sebzeler
Brokoli (fırınlanmış),39.1,Sebzeler
Brokoli (haşlanmış),35.7,Sebzeler
Brokoli (pişmiş),36.0,Sebzeler
Brokoli sapı,28.0,Sebzeler
Brokoli sapı (haşlanmış),29.4,Sebzeler
Brüksel lahanası,43.0,Sebzeler
Brüksel lahanası (haşlanmış),45.1,Sebzeler
Dereotu,43.0,Sebzeler
Dolmalık biber,26.0,Sebzeler
Dolmalık biber (fırınlanmış),29.9,Sebzeler
Dolmalık biber (haşlanmış),27.3,Sebzeler
Dolmalık biber (pişmiş),28.1,Sebzeler
Dolmalık biber (ızgara),29.9,Sebzeler
Domates,18.0,Sebzeler
Domates (fırınlanmış),22.0,Sebzeler
Domates (haşlanmış),18.9,Sebzeler
Domates (pişmiş),19.4,Sebzeler
Domates (çeri),18.0,Sebzeler
Domates (çeri) (haşlanmış),18.9,Sebzeler
Domates (ızgara),20.7,Sebzeler
Enginar,47.0,Sebzeler
Enginar (fırınlanmış),54.0,Sebzeler
Enginar (haşlanmış),49.4,Sebzeler
Fesleğen,23.0,Sebzeler
Göbek marul,14.0,Sebzeler
Havuç,41.0,Sebzeler
Havuç (bebek),41.0,Sebzeler
Havuç (bebek) (haşlanmış),43.1,Sebzeler
Havuç (fırınlanmış),47.1,Sebzeler
Havuç (haşlanmış),43.1,Sebzeler
Ispanak,23.0,Sebzeler
Ispanak (haşlanmış),24.2,Sebzeler
Ispanak (pişmiş),26.0,Sebzeler
Kabak,17.0,Sebzeler
Kabak (bal),17.0,Sebzeler
Kabak (bal) (haşlanmış),17.9,Sebzeler
Kabak (fırınlanmış),19.5,Sebzeler
Kabak (haşlanmış),17.9,Sebzeler
Kabak (pişmiş),18.4,Sebzeler
Kabak (sakız),17.0,Sebzeler
Kabak (sakız) (haşlanmış),17.9,Sebzeler
Kabak (ızgara),19.5,Sebzeler
Kabak çiçeği,19.0,Sebzeler
Kabak çiçeği (haşlanmış),19.9,Sebzeler
Kapya biber,31.0,Sebzeler
Kapya biber (fırınlanmış),35.6,Sebzeler
Kapya biber (haşlanmış),32.6,Sebzeler
Kapya biber (pişmiş),33.5,Sebzeler
Kapya biber (ızgara),35.6,Sebzeler
Kara lahana,32.0,Sebzeler
Kara lahana (haşlanmış),33.6,Sebzeler
Karnabahar,25.0,Sebzeler
Karnabahar (fırınlanmış),28.7,Sebzeler
Karnabahar (haşlanmış),26.2,Sebzeler
Karnabahar (pişmiş),27.0,Sebzeler
Karnabahar (çiçek),25.0,Sebzeler
Karnabahar (çiçek) (haşlanmış),26.2,Sebzeler
Karnabahar yaprağı,22.0,Sebzeler
Karnabahar yaprağı (haşlanmış),23.1,Sebzeler
Kereviz,42.0,Sebzeler
Kereviz (fırınlanmış),48.3,Sebzeler
Kereviz (haşlanmış),44.1,Sebzeler
Kereviz (yaprak),16.0,Sebzeler
Kereviz (yaprak) (haşlanmış),16.8,Sebzeler
Kereviz kökü,42.0,Sebzeler
Kereviz kökü (haşlanmış),44.1,Sebzeler
Kereviz sapı,16.0,Sebzeler
Kereviz sapı (haşlanmış),16.8,Sebzeler
Kestane mantarı,22.0,Sebzeler
Kestane mantarı (haşlanmış),23.1,Sebzeler
Kornişon,16.0,Sebzeler
Kuşkonmaz,20.0,Sebzeler
Kuşkonmaz (fırınlanmış),23.0,Sebzeler
Kuşkonmaz (haşlanmış),21.0,Sebzeler
Kuşkonmaz (ızgara),22.0,Sebzeler
Közlenmiş biber,35.0,Sebzeler
Közlenmiş domates,22.0,Sebzeler
Közlenmiş patlıcan,30.0,Sebzeler
Kırmızı biber,31.0,Sebzeler
Kırmızı biber (haşlanmış),32.6,Sebzeler
Kırmızı lahana,31.0,Sebzeler
Kırmızı lahana (haşlanmış),32.6,Sebzeler
Kıvırcık,14.0,Sebzeler
Kıvırcık lahana,49.0,Sebzeler
Lahana,25.0,Sebzeler
Lahana (beyaz),25.0,Sebzeler
Lahana (beyaz) (haşlanmış),26.2,Sebzeler
Lahana (haşlanmış),26.2,Sebzeler
Limon kabuğu,47.0,Sebzeler
Mantar,22.0,Sebzeler
Mantar (fırınlanmış),25.3,Sebzeler
Mantar (haşlanmış),23.1,Sebzeler
Mantar (ızgara),30.0,Sebzeler
Marul,15.0,Sebzeler
Maydanoz,36.0,Sebzeler
Mısır (taze),86.0,Sebzeler
Mısır (taze) (fırınlanmış),98.9,Sebzeler
Mısır (taze) (haşlanmış),90.3,Sebzeler
Nane,70.0,Sebzeler
Pancar,43.0,Sebzeler
Pancar (fırınlanmış),49.4,Sebzeler
Pancar (haşlanmış),45.1,Sebzeler
Patates (fırınlanmış),95.0,Sebzeler
Patates (haşlanmış),80.0,Sebzeler
Patates (tatlı),86.0,Sebzeler
Patates (tatlı) (fırınlanmış),98.9,Sebzeler
Patates (tatlı) (haşlanmış),90.3,Sebzeler
Patates (ızgara),90.0,Sebzeler
Patlıcan,25.0,Sebzeler
Patlıcan (fırınlanmış),28.7,Sebzeler
Patlıcan (haşlanmış),26.2,Sebzeler
Patlıcan (pişmiş),27.0,Sebzeler
Patlıcan (ızgara),28.7,Sebzeler
Pazı,19.0,Sebzeler
Pazı (haşlanmış),19.9,Sebzeler
Pırasa,61.0,Sebzeler
Pırasa (fırınlanmış),70.1,Sebzeler
Pırasa (haşlanmış),64.0,Sebzeler
Pırasa (pişmiş),65.0,Sebzeler
Pırasa (yaprak),45.0,Sebzeler
Pırasa (yaprak) (haşlanmış),47.2,Sebzeler
Renkli biber,31.0,Sebzeler
Renkli biber (haşlanmış),32.6,Sebzeler
Rezene,31.0,Sebzeler
Rezene (fırınlanmış),35.6,Sebzeler
Rezene (haşlanmış),32.6,Sebzeler
Roka,25.0,Sebzeler
Salatalık,16.0,Sebzeler
Sarımsak,149.0,Sebzeler
Sarımsak (haşlanmış),156.5,Sebzeler
Sarımsak (pişmiş),120.0,Sebzeler
Semizotu,20.0,Sebzeler
Sivri biber,29.0,Sebzeler
Sivri biber (haşlanmış),30.5,Sebzeler
Sivri biber (pişmiş),31.3,Sebzeler
Sivri biber (ızgara),33.3,Sebzeler
Soğan,40.0,Sebzeler
Soğan (fırınlanmış),46.0,Sebzeler
Soğan (haşlanmış),42.0,Sebzeler
Soğan (pişmiş),43.2,Sebzeler
Soğan (ızgara),46.0,Sebzeler
Tatlı patates (fırınlanmış),100.0,Sebzeler
Tatlı patates (haşlanmış),90.0,Sebzeler
Taze fasulye,31.0,Sebzeler
Taze fasulye (fırınlanmış),35.6,Sebzeler
Taze fasulye (haşlanmış),32.6,Sebzeler
Taze soğan (pişmiş),35.0,Sebzeler
Tere,32.0,Sebzeler
Turp,16.0,Sebzeler
Turp (haşlanmış),16.8,Sebzeler
Yeşil biber,29.0,Sebzeler
Yeşil biber (haşlanmış),30.5,Sebzeler
Yeşil soğan,32.0,Sebzeler
Yeşil soğan (haşlanmış),33.6,Sebzeler
Zencefil,80.0,Sebzeler
Zencefil (haşlanmış),84.0,Sebzeler
Zerdeçal,312.0,Sebzeler
Zerdeçal (haşlanmış),327.6,Sebzeler
İstiridye mantarı,33.0,Sebzeler
İstiridye mantarı (haşlanmış),34.6,Sebzeler
Şalgam,28.0,Sebzeler
Şalgam (fırınlanmış),32.2,Sebzeler
Şalgam (haşlanmış),29.4,Sebzeler
Ahududu,52.0,Meyveler
Ananas,50.0,Meyveler
Ananas (konserve),60.0,Meyveler
Armut,57.0,Meyveler
Armut (ankara),57.0,Meyveler
Armut (deveci),57.0,Meyveler
Armut (komposto),70.0,Meyveler
Armut (kurutulmuş),262.0,Meyveler
Armut (santa maria),57.0,Meyveler
Avokado,160.0,Meyveler
Ayva,57.0,Meyveler
Ayva (komposto),70.0,Meyveler
Böğürtlen,43.0,Meyveler
Dut,43.0,Meyveler
Elma,52.0,Meyveler
Elma (komposto),65.0,Meyveler
Elma (kurutulmuş),243.0,Meyveler
Elma (kırmızı),52.0,Meyveler
Elma (yeşil),52.0,Meyveler
Erik,46.0,Meyveler
Erik (kuru),240.0,Meyveler
Greyfurt,42.0,Meyveler
Gül elması,52.0,Meyveler
Hurma,282.0,Meyveler
Hurma (kuru),282.0,Meyveler
Karpuz,30.0,Meyveler
Karpuz (çekirdeksiz),30.0,Meyveler
Kavun,34.0,Meyveler
Kavun (bal),34.0,Meyveler
Kayısı,48.0,Meyveler
Kayısı (konserve),70.0,Meyveler
Kayısı (kuru),241.0,Meyveler
Kiraz,63.0,Meyveler
Kiraz (ekşi),60.0,Meyveler
Kivi,61.0,Meyveler
Kumkuat,71.0,Meyveler
Kızılcık,46.0,Meyveler
Limon,29.0,Meyveler
Liçi,66.0,Meyveler
Mandalina,53.0,Meyveler
Mandalina (klemantin),53.0,Meyveler
Mango,60.0,Meyveler
Muz,89.0,Meyveler
Muşmula,47.0,Meyveler
Nar,83.0,Meyveler
Nektarin,44.0,Meyveler
Papaya,43.0,Meyveler
Portakal,47.0,Meyveler
Portakal (kan portakalı),47.0,Meyveler
Portakal (valencia),47.0,Meyveler
Portakal (washington),47.0,Meyveler
Trabzon hurması,70.0,Meyveler
Vişne,50.0,Meyveler
Yaban mersini,57.0,Meyveler
Yeni dünya,47.0,Meyveler
Çilek,32.0,Meyveler
Çilek (orman),32.0,Meyveler
Üzüm,69.0,Meyveler
Üzüm (beyaz),69.0,Meyveler
Üzüm (kuru),299.0,Meyveler
Üzüm (siyah),69.0,Meyveler
Üzüm (çekirdeksiz),69.0,Meyveler
İncir,74.0,Meyveler
İncir (kuru),249.0,Meyveler
Şeftali,39.0,Meyveler
Şeftali (beyaz),39.0,Meyveler
Şeftali (konserve),65.0,Meyveler
Antep fıstığı,562.0,Kuruyemiş ve Tohumlar
Ay çekirdeği (iç),584.0,Kuruyemiş ve Tohumlar
Badem,579.0,Kuruyemiş ve Tohumlar
Badem ezmesi,600.0,Kuruyemiş ve Tohumlar
Beyaz leblebi,370.0,Kuruyemiş ve Tohumlar
Ceviz,654.0,Kuruyemiş ve Tohumlar
Chia tohumu,486.0,Kuruyemiş ve Tohumlar
Fındık,628.0,Kuruyemiş ve Tohumlar
Fındık ezmesi,600.0,Kuruyemiş ve Tohumlar
Fıstık ezmesi,588.0,Kuruyemiş ve Tohumlar
Haşhaş tohumu,525.0,Kuruyemiş ve Tohumlar
Kabak çekirdeği (kabuksuz),559.0,Kuruyemiş ve Tohumlar
Kaju,553.0,Kuruyemiş ve Tohumlar
Keten tohumu,534.0,Kuruyemiş ve Tohumlar
Leblebi,364.0,Kuruyemiş ve Tohumlar
Pekmezli tahin,450.0,Kuruyemiş ve Tohumlar
Sarı leblebi,364.0,Kuruyemiş ve Tohumlar
Susam,573.0,Kuruyemiş ve Tohumlar
Tahin,595.0,Kuruyemiş ve Tohumlar
Yer fıstığı,567.0,Kuruyemiş ve Tohumlar
Çörek otu,375.0,Kuruyemiş ve Tohumlar
Ayçiçek yağı,884.0,Yağlar
Hindistan cevizi yağı,862.0,Yağlar
Kanola yağı,884.0,Yağlar
Margarin,717.0,Yağlar
Mısırözü yağı,884.0,Yağlar
Tereyağı,717.0,Yağlar
Zeytinyağı,884.0,Yağlar
Baklava,430.0,Şekerleme ve Tatlılar
Bal,304.0,Şekerleme ve Tatlılar
Bal (çiçek),304.0,Şekerleme ve Tatlılar
Bisküvi,450.0,Şekerleme ve Tatlılar
Bisküvi (sade),450.0,Şekerleme ve Tatlılar
Dondurma,207.0,Şekerleme ve Tatlılar
Helva,516.0,Şekerleme ve Tatlılar
Kazandibi,160.0,Şekerleme ve Tatlılar
Kek,350.0,Şekerleme ve Tatlılar
Kraker (tuzlu),430.0,Şekerleme ve Tatlılar
Lokum,333.0,Şekerleme ve Tatlılar
Muhallebi,120.0,Şekerleme ve Tatlılar
Pasta,350.0,Şekerleme ve Tatlılar
Pekmez,293.0,Şekerleme ve Tatlılar
Pekmez (dut),293.0,Şekerleme ve Tatlılar
Pekmez (üzüm),293.0,Şekerleme ve Tatlılar
Reçel,278.0,Şekerleme ve Tatlılar
Reçel (kayısı),278.0,Şekerleme ve Tatlılar
Reçel (vişne),278.0,Şekerleme ve Tatlılar
Reçel (çilek),278.0,Şekerleme ve Tatlılar
Sütlaç,140.0,Şekerleme ve Tatlılar
Çikolata,546.0,Şekerleme ve Tatlılar
Çikolata (bitter),546.0,Şekerleme ve Tatlılar
Çikolata (sütlü),535.0,Şekerleme ve Tatlılar
Şeker,387.0,Şekerleme ve Tatlılar
Ayran (içecek),36.0,İçecekler (Alkollü / Alkolsüz)
Açık çay,1.0,İçecekler (Alkollü / Alkolsüz)
Bira,43.0,İçecekler (Alkollü / Alkolsüz)
Bitki çayı,1.0,İçecekler (Alkollü / Alkolsüz)
Cin,263.0,İçecekler (Alkollü / Alkolsüz)
Elma suyu,46.0,İçecekler (Alkollü / Alkolsüz)
Gazoz,40.0,İçecekler (Alkollü / Alkolsüz)
Kahve,2.0,İçecekler (Alkollü / Alkolsüz)
Kola,42.0,İçecekler (Alkollü / Alkolsüz)
Limonata,40.0,İçecekler (Alkollü / Alkolsüz)
Maden suyu,0.0,İçecekler (Alkollü / Alkolsüz)
Meyve suyu,45.0,İçecekler (Alkollü / Alkolsüz)
Nar suyu,60.0,İçecekler (Alkollü / Alkolsüz)
